"customerID","gender","Partner","Dependents","tenure","PhoneService","PaperlessBilling","MonthlyCharges","TotalCharges","NEW_AVG_Charges","NEW_Increase","NEW_AVG_Service_Fee","Churn"
"5248-YGIJN","1","1","0","72","1","1","90.25","6369.45","87.252739726027","0.96678935984518","11.28125","0"
"8773-HHUOZ","0","0","1","17","1","1","64.7","1093.1","60.727777777778","0.93860552979564","16.175","1"
"3841-NFECX","0","1","0","71","1","1","96.35","6766.95","93.985416666667","0.975458398201","16.058333333333","0"
"4929-XIHVW","1","1","0","2","1","1","95.5","181.65","60.55","0.63403141361257","19.1","0"
"6827-IEAUQ","0","1","1","27","1","0","66.15","1874.45","66.944642857143","1.0120127416046","11.025","0"
"7310-EGVHZ","1","0","0","1","1","0","20.2","20.2","10.1","0.5","10.1","0"
"3413-BMNZE","1","0","0","1","1","0","45.25","45.25","22.625","0.5","22.625","0"
"6234-RAAPL","0","1","1","72","1","0","99.9","7251.7","99.338356164384","0.99437793958342","16.65","0"
"6047-YHPVI","1","0","0","5","1","1","69.7","316.9","52.816666666667","0.75777140124342","34.85","1"
"6572-ADKRS","0","0","0","46","1","1","74.8","3548.3","75.495744680851","1.0093013994766","24.933333333333","0"
"5380-WJKOV","1","0","0","34","1","1","106.35","3549.25","101.40714285714","0.95352273490496","17.725","1"
"8168-UQWWF","0","0","0","11","1","1","97.85","1105.4","92.116666666667","0.94140691534662","19.57","1"
"8865-TNMNX","1","1","1","10","1","0","49.55","475.7","43.245454545455","0.87276396660857","16.516666666667","0"
"9489-DEDVP","0","1","1","70","1","1","69.2","4872.35","68.624647887324","0.99168566311162","13.84","0"
"9867-JCZSP","0","1","1","17","1","0","20.75","418.25","23.236111111111","1.119812583668","10.375","0"
"4671-VJLCL","0","0","0","63","1","1","79.85","4861.45","75.96015625","0.95128561365059","11.407142857143","0"
"4080-IIARD","0","1","0","13","1","1","76.2","981.45","70.103571428571","0.91999437570304","12.7","0"
"3714-NTNFO","0","0","0","49","1","1","84.5","3906.7","78.134","0.92466272189349","28.166666666667","0"
"5948-UJZLF","1","0","0","2","1","0","49.25","97","32.333333333333","0.65651438240271","16.416666666667","0"
"7760-OYPDY","0","0","0","2","1","1","80.65","144.15","48.05","0.59578425294482","26.883333333333","1"
"7639-LIAYI","1","0","0","52","1","1","79.75","4217.8","79.581132075472","0.99788253386171","13.291666666667","0"
"2954-PIBKO","0","1","1","69","1","1","64.15","4254.1","60.772857142857","0.9473555283376","12.83","0"
"8012-SOUDQ","0","0","0","43","1","1","90.25","3838.75","87.244318181818","0.96669604633594","22.5625","0"
"9420-LOJKX","0","0","0","15","1","1","99.1","1426.4","89.15","0.89959636730575","16.516666666667","1"
"6575-SUVOI","0","1","0","25","1","1","69.5","1752.65","67.409615384615","0.96992252351965","13.9","0"
"7495-OOKFY","0","1","0","8","1","1","80.65","633.3","70.366666666667","0.87249431700765","26.883333333333","1"
"4667-QONEA","0","1","1","60","1","1","74.85","4456.35","73.054918032787","0.97601760898847","10.692857142857","0"
"1658-BYGOY","1","0","0","18","1","1","95.45","1752.55","92.239473684211","0.96636431308759","23.8625","1"
"8769-KKTPH","0","1","1","63","1","1","99.65","6311.2","98.6125","0.98958855995986","19.93","0"
"5067-XJQFU","1","1","1","66","1","1","108.45","7076.35","105.6171641791","0.97387887670912","15.492857142857","0"
"3957-SQXML","0","1","1","34","1","0","24.95","894.3","25.551428571429","1.0241053535643","12.475","0"
"5954-BDFSG","0","0","0","72","1","1","107.5","7853.7","107.58493150685","1.0007900605288","17.916666666667","0"
"0434-CSFON","0","1","0","47","1","1","100.5","4707.1","98.064583333333","0.97576699834163","20.1","0"
"1215-FIGMP","1","0","0","60","1","1","89.9","5450.7","89.355737704918","0.99394591440398","22.475","0"
"0526-SXDJP","1","1","0","72","0","0","42.1","2962","40.575342465753","0.96378485666873","10.525","0"
"0557-ASKVU","0","1","1","18","1","1","54.4","957.1","50.373684210526","0.92598684210526","13.6","0"
"5698-BQJOH","0","0","0","9","1","0","94.4","857.25","85.725","0.90810381355932","23.6","1"
"5122-CYFXA","0","0","0","3","1","1","75.3","244.1","61.025","0.81042496679947","12.55","0"
"8627-ZYGSZ","1","1","0","47","1","1","78.9","3650.35","76.048958333333","0.96386512463033","26.3","0"
"3410-YOQBQ","0","0","0","31","1","0","79.2","2497.2","78.0375","0.98532196969697","11.314285714286","0"
"3170-NMYVV","0","1","1","50","1","0","20.15","930.9","18.252941176471","0.90585316012261","10.075","0"
"7410-OIEDU","1","0","0","10","1","1","79.85","887.35","80.668181818182","1.0102464848864","19.9625","0"
"2273-QCKXA","1","0","0","1","1","0","49.05","49.05","24.525","0.5","16.35","0"
"0731-EBJQB","0","1","1","52","1","1","20.4","1090.65","20.578301886792","1.0087402885683","10.2","0"
"1891-QRQSA","1","1","1","64","1","1","111.6","7099","109.21538461538","0.97863247863248","15.942857142857","0"
"8028-PNXHQ","1","1","1","62","1","1","24.25","1424.6","22.612698412698","0.93248240877107","12.125","0"
"5630-AHZIL","0","0","1","3","1","1","64.5","177.4","44.35","0.68759689922481","12.9","0"
"2673-CXQEU","0","0","0","56","1","0","110.5","6139.5","107.71052631579","0.97475589426054","15.785714285714","0"
"6416-JNVRK","0","0","0","46","1","0","55.65","2688.85","57.209574468085","1.0280246984382","18.55","0"
"5590-ZSKRV","0","1","1","8","1","0","54.65","482.25","53.583333333333","0.98048185422385","13.6625","0"
"0191-ZHSKZ","1","0","0","30","1","1","74.75","2111.3","68.106451612903","0.91112309850038","12.458333333333","0"
"3887-PBQAO","0","1","1","45","1","1","25.9","1216.6","26.447826086957","1.021151586369","12.95","0"
"5919-TMRGD","0","0","1","1","1","1","79.35","79.35","39.675","0.5","26.45","1"
"8108-UXRQN","0","1","1","11","0","0","50.55","565.35","47.1125","0.93199802176063","12.6375","0"
"9191-MYQKX","0","1","0","7","1","1","75.15","496.9","62.1125","0.82651363938789","25.05","1"
"9919-YLNNG","0","0","0","42","1","1","103.8","4327.5","100.63953488372","0.96955235918806","14.828571428571","0"
"0318-ZOPWS","0","1","0","49","1","1","20.15","973.35","19.467","0.96610421836228","10.075","0"
"4445-ZJNMU","1","0","0","9","1","1","99.3","918.75","91.875","0.92522658610272","19.86","0"
"4808-YNLEU","0","1","0","35","1","1","62.15","2215.45","61.540277777778","0.99018950567623","15.5375","0"
"1862-QRWPE","0","1","1","48","1","0","20.65","1057","21.571428571429","1.0446212383258","10.325","0"
"2796-NNUFI","0","1","1","46","1","1","19.95","927.1","19.725531914894","0.98874846691196","9.975","0"
"3016-KSVCP","1","1","0","29","0","0","33.75","1009.25","33.641666666667","0.99679012345679","16.875","0"
"4767-HZZHQ","1","1","1","30","1","0","82.05","2570.2","82.909677419355","1.010477482259","20.5125","0"
"2424-WVHPL","1","0","0","1","1","0","74.7","74.7","37.35","0.5","24.9","0"
"7233-PAHHL","1","1","1","66","1","1","84","5714.25","85.287313432836","1.0153251599147","12","0"
"6067-NGCEU","0","0","0","65","1","1","111.05","7107","107.68181818182","0.96966968196144","15.864285714286","0"
"9848-JQJTX","1","0","0","72","1","1","100.9","7459.05","102.17876712329","1.0126736087541","16.816666666667","0"
"8637-XJIVR","0","0","0","12","1","1","78.95","927.35","71.334615384615","0.9035416768159","26.316666666667","1"
"9803-FTJCG","1","1","1","71","1","1","66.85","4748.7","65.954166666667","0.9865993517826","13.37","0"
"0278-YXOOG","1","0","0","5","1","0","21.05","113.85","18.975","0.90142517814727","10.525","1"
"3212-KXOCR","1","0","0","52","1","0","21","1107.2","20.890566037736","0.9947888589398","10.5","0"
"4598-XLKNJ","0","1","0","25","1","1","98.5","2514.5","96.711538461538","0.98184303006638","16.416666666667","1"
"6380-ARCEH","1","0","0","1","1","0","20.2","20.2","10.1","0.5","10.1","0"
"3679-XASPY","0","1","1","1","1","0","19.45","19.45","9.725","0.5","9.725","0"
"7123-WQUHX","1","0","0","38","1","0","95","3605.6","92.451282051282","0.9731713900135","19","0"
"5386-THSLQ","0","1","0","66","0","0","45.55","3027.25","45.182835820896","0.99193931549716","11.3875","0"
"3192-NQECA","1","1","0","68","1","1","110","7611.85","110.31666666667","1.0028787878788","15.714285714286","1"
"6180-YBIQI","1","0","0","5","0","0","24.3","100.2","16.7","0.68724279835391","24.3","0"
"6728-DKUCO","0","1","1","72","1","1","104.15","7303.05","100.04178082192","0.96055478465596","17.358333333333","0"
"9750-BOOHV","0","0","0","32","0","0","30.15","927.65","28.110606060606","0.93235840997035","15.075","0"
"8597-CWYHH","1","0","0","43","1","0","94.35","3921.3","89.120454545455","0.94457291516115","23.5875","0"
"2848-YXSMW","1","1","1","72","1","0","19.4","1363.25","18.674657534247","0.96261121310549","9.7","0"
"0486-HECZI","1","1","0","55","1","1","96.75","5238.9","93.551785714286","0.96694352159468","19.35","1"
"4549-ZDQYY","0","0","0","52","1","0","57.95","3042.25","57.400943396226","0.9905253390203","11.59","0"
"5712-AHQNN","0","0","0","43","1","1","91.65","3954.1","89.865909090909","0.98053365074642","18.33","0"
"4846-WHAFZ","0","1","0","37","1","1","76.5","2868.15","75.477631578947","0.98663570691434","38.25","1"
"5256-SKJGO","0","1","1","64","0","1","54.6","3423.5","52.669230769231","0.96463792617639","10.92","0"
"3071-VBYPO","1","1","1","3","1","0","89.85","248.4","62.1","0.69115191986644","17.97","0"
"9560-BBZXK","0","0","0","36","0","0","31.05","1126.35","30.441891891892","0.9804151978065","15.525","0"
"5299-RULOA","0","1","1","10","1","1","100.25","1064.65","96.786363636364","0.9654500113353","20.05","1"
"8402-OOOHJ","0","0","0","41","1","0","20.65","835.15","19.884523809524","0.9629309350859","10.325","0"
"9445-ZUEQE","1","1","1","27","1","1","85.2","2151.6","76.842857142857","0.90191146881288","21.3","0"
"1091-SOZGA","0","1","1","56","1","1","99.8","5515.45","96.762280701754","0.9695619308793","19.96","0"
"2928-HLDBA","0","0","0","6","1","0","20.7","112.75","16.107142857143","0.77812284334023","10.35","0"
"0404-SWRVG","1","0","0","3","1","1","74.4","229.55","57.3875","0.7713373655914","37.2","1"
"6497-TILVL","0","1","1","7","1","0","50.7","350.35","43.79375","0.86378205128205","16.9","0"
"7219-TLZHO","0","1","1","4","1","0","20.85","62.9","12.58","0.60335731414868","10.425","0"
"4622-YNKIJ","1","0","0","33","1","1","88.95","3027.65","89.048529411765","1.0011076943425","17.79","0"
"4412-YLTKF","0","0","0","27","1","1","78.05","2135.5","76.267857142857","0.97716665141393","26.016666666667","1"
"6734-PSBAW","1","1","0","72","1","1","23.55","1723.95","23.615753424658","1.0027920774801","11.775","0"
"3930-ZGWVE","1","0","0","1","1","0","19.75","19.75","9.875","0.5","9.875","0"
"2639-UGMAZ","1","0","0","71","0","1","56.45","3985.35","55.352083333333","0.98055063478004","11.29","0"
"2876-GZYZC","0","0","0","13","1","1","85.95","1215.65","86.832142857143","1.0102634422006","28.65","0"
"6207-WIOLX","0","1","1","25","0","1","58.6","1502.65","57.794230769231","0.98624967182988","9.7666666666667","1"
"8587-XYZSF","1","0","0","67","1","0","50.55","3260.1","47.942647058824","0.94842031768197","16.85","0"
"3091-FYHKI","1","0","0","1","0","1","35.45","35.45","17.725","0.5","17.725","1"
"2372-HWUHI","1","0","0","2","1","0","44.35","81.25","27.083333333333","0.61067267944382","22.175","1"
"7799-LGRDP","0","0","0","43","1","1","25.7","1188.2","27.004545454545","1.0507605235232","12.85","0"
"7850-VWJUU","0","0","0","23","1","1","75","1778.5","74.104166666667","0.98805555555556","25","0"
"3774-VBNXY","0","1","1","64","1","0","20.2","1277.75","19.657692307692","0.97315308453922","10.1","0"
"6217-KDYWC","1","0","1","57","1","1","19.6","1170.55","20.181896551724","1.0296885995778","9.8","0"
"0390-DCFDQ","0","1","0","1","1","1","70.45","70.45","35.225","0.5","35.225","1"
"3146-MSEGF","0","1","1","72","1","1","88.05","6425.65","88.022602739726","0.9996888442899","11.00625","0"
"4080-OGPJL","0","0","0","8","1","0","71.15","563.65","62.627777777778","0.88022175372843","14.23","1"
"1095-WGNGG","0","1","0","61","1","1","101.05","5971.25","96.310483870968","0.95309731688241","20.21","0"
"2636-SJDOU","1","0","0","64","1","1","84.3","5289.05","81.37","0.96524317912218","21.075","0"
"1131-QQZEB","1","1","0","71","1","0","23.95","1756.2","24.391666666667","1.0184411969381","11.975","0"
"5716-EZXZN","0","1","1","65","1","1","99.05","6416.7","97.222727272727","0.98155201688771","16.508333333333","0"
"6837-BJYDQ","1","0","0","3","1","0","19.6","61.35","15.3375","0.78252551020408","9.8","0"
"2135-RXIHG","1","0","0","1","1","1","45.65","45.65","22.825","0.5","22.825","1"
"6440-DKQGE","1","0","1","30","1","0","64.5","1929.95","62.256451612903","0.96521630407602","12.9","0"
"3466-BYAVD","1","1","1","15","1","1","69.5","1071.4","66.9625","0.96348920863309","11.583333333333","0"
"3780-YVMFA","0","1","1","8","1","1","68.55","564.35","62.705555555556","0.91474187535457","13.71","0"
"3874-EQOEP","1","0","0","7","1","0","95","655.5","81.9375","0.8625","23.75","1"
"1679-JRFBR","0","1","1","70","1","1","108.15","7930.55","111.69788732394","1.0328052457138","15.45","0"
"9073-ZZIAY","1","1","1","62","1","0","86.1","5215.25","82.781746031746","0.96146046494479","10.7625","0"
"3077-RSNTJ","0","1","1","6","1","0","19.7","113.5","16.214285714286","0.82306018854242","9.85","0"
"6551-GNYDG","0","1","1","14","1","1","80.9","1152.8","76.853333333333","0.94997939843428","26.966666666667","0"
"9167-APMXZ","0","0","0","22","1","1","84.15","1821.95","79.215217391304","0.94135730708621","28.05","0"
"2749-CTKAJ","1","1","1","22","1","0","20.15","419.9","18.25652173913","0.90603085553997","10.075","0"
"6371-NZYEG","1","1","1","16","1","0","64.25","1024","60.235294117647","0.93751430533303","12.85","0"
"7554-NEWDD","1","0","0","10","1","0","25.7","251.6","22.872727272727","0.88998938804386","12.85","0"
"8992-VONJD","0","0","1","13","1","1","56","764.55","54.610714285714","0.97519132653061","14","0"
"0867-MKZVY","0","1","0","20","1","0","82.4","1592.35","75.82619047619","0.92022075820619","27.466666666667","1"
"4482-EWFMI","0","0","0","2","1","1","69.7","135.2","45.066666666667","0.64658058345289","34.85","0"
"4648-YPBTM","1","0","0","53","1","1","73.9","3958.25","73.300925925926","0.99189344960658","12.316666666667","0"
"2907-ILJBN","0","1","1","11","1","0","20.6","233.9","19.491666666667","0.94619741100324","10.3","0"
"6345-FZOQH","1","1","0","69","1","0","19.9","1363.45","19.477857142857","0.97878679109835","9.95","0"
"3376-BMGFE","0","0","0","4","1","1","70.9","273","54.6","0.77009873060649","35.45","1"
"5997-OPVFA","1","1","0","72","1","1","89.05","6254.45","85.677397260274","0.96212686423665","11.13125","0"
"3445-HXXGF","1","1","0","58","0","1","45.3","2651.2","44.935593220339","0.99195570022823","11.325","1"
"1159-WFSGR","0","1","1","16","1","0","20.4","321.4","18.905882352941","0.92675893886967","10.2","0"
"7654-YWJUF","1","1","0","43","1","1","84.25","3539.25","80.4375","0.95474777448071","16.85","0"
"1875-QIVME","0","1","0","2","1","1","104.4","242.8","80.933333333333","0.77522349936143","17.4","1"
"6727-IOTLZ","1","1","0","14","1","0","81.95","1181.75","78.783333333333","0.96135855196258","11.707142857143","0"
"0691-JVSYA","0","1","0","53","1","1","94.85","5000.2","92.596296296296","0.97623928620239","18.97","1"
"5918-VUKWP","0","0","0","32","1","0","20.55","654.55","19.834848484848","0.96519943965199","10.275","0"
"1744-JHKYS","0","1","0","34","1","0","24.7","780.2","22.291428571429","0.90248698669751","12.35","0"
"2656-FMOKZ","0","0","0","15","1","1","74.45","1145.7","71.60625","0.96180322364003","37.225","1"
"2070-FNEXE","0","0","0","7","1","0","76.45","503.6","62.95","0.82341399607587","25.483333333333","1"
"5947-SGKCL","0","1","1","15","1","1","105.35","1559.25","97.453125","0.9250415282392","17.558333333333","0"
"3712-PKXZA","1","1","0","61","1","1","20.55","1252","20.193548387097","0.98265442272977","10.275","0"
"6317-YPKDH","0","0","0","1","0","0","29.95","29.95","14.975","0.5","14.975","1"
"6582-OIVSP","0","0","0","1","1","0","45.3","45.3","22.65","0.5","22.65","0"
"9367-WXLCH","1","0","0","8","1","0","84.5","662.65","73.627777777778","0.87133464825773","28.166666666667","1"
"5524-KHNJP","1","1","1","33","1","0","74.75","2453.3","72.155882352941","0.96529608498918","12.458333333333","0"
"1918-ZBFQJ","0","0","0","13","1","1","79.25","1111.65","79.403571428571","1.0019378098242","19.8125","1"
"1024-GUALD","0","1","0","1","0","1","24.8","24.8","12.4","0.5","24.8","1"
"4827-USJHP","1","0","0","20","1","1","51.8","1023.85","48.754761904762","0.94121161978305","17.266666666667","0"
"8167-GJLRN","1","0","0","3","0","0","30.4","82.15","20.5375","0.67557565789474","15.2","0"
"0956-SYCWG","0","0","0","13","1","0","19.65","244.8","17.485714285714","0.88985823336968","9.825","0"
"8017-UVSZU","0","1","0","40","1","0","56.6","2379.1","58.026829268293","1.025208997673","18.866666666667","0"
"7100-FQPRV","1","1","1","43","1","1","71.9","3173.35","72.121590909091","1.0030819319762","14.38","0"
"2472-OVKUP","1","1","0","6","1","1","91","531","75.857142857143","0.83359497645212","18.2","1"
"2984-RGEYA","0","1","1","69","1","0","19.75","1375.4","19.648571428571","0.9948643761302","9.875","0"
"9680-NIAUV","0","1","1","72","1","0","109.7","8129.3","111.3602739726","1.0151346761404","15.671428571429","0"
"2146-EGVDT","1","1","1","59","1","0","19.3","1192.7","19.878333333333","1.0299654576857","9.65","0"
"2604-IJPDU","0","1","0","20","1","1","96.55","1901.65","90.554761904762","0.93790535375207","16.091666666667","0"
"9178-JHUVJ","1","1","1","24","1","1","24.1","587.4","23.496","0.9749377593361","12.05","0"
"6168-YBYNP","1","0","0","59","1","1","111.35","6519.75","108.6625","0.97586439155815","15.907142857143","0"
"7255-SSFBC","1","1","1","72","1","1","112.25","8041.65","110.1595890411","0.98137718522134","16.035714285714","0"
"3645-DEYGF","1","0","1","1","1","0","20.75","20.75","10.375","0.5","10.375","0"
"9323-HGFWY","0","1","0","27","1","1","101.9","2681.15","95.755357142857","0.93969928501332","16.983333333333","0"
"8544-GOQSH","0","0","0","14","1","1","80.05","1112.3","74.153333333333","0.92633770560067","20.0125","0"
"3363-DTIVD","1","1","1","71","1","0","105.55","7405.5","102.85416666667","0.97445918206221","17.591666666667","0"
"7018-WBJNK","1","0","1","13","1","1","78.3","1033.95","73.853571428571","0.94321291735085","26.1","0"
"9142-KZXOP","1","0","0","44","1","0","68.85","2958.95","65.754444444444","0.95503913499556","34.425","0"
"7674-YTAFD","0","0","0","33","1","1","79.95","2684.85","78.966176470588","0.9876945149542","19.9875","0"
"6348-SNFUS","1","1","1","72","0","1","55.45","4179.2","57.249315068493","1.0324493249503","9.2416666666667","0"
"1285-OKIPP","1","0","0","1","1","0","79.9","79.9","39.95","0.5","26.633333333333","1"
"7825-ECJRF","0","0","0","19","1","1","106.6","1934.45","96.7225","0.90734052532833","15.228571428571","1"
"1347-KTTTA","1","1","0","64","1","1","102.45","6654.1","102.37076923077","0.9992266396366","14.635714285714","0"
"7841-TZDMQ","1","0","0","2","1","1","46","84.5","28.166666666667","0.61231884057971","23","1"
"4195-NZGTA","0","0","0","1","0","0","25.25","25.25","12.625","0.5","25.25","0"
"7157-SMCFK","1","0","1","61","1","0","19.75","1124.2","18.132258064516","0.91808901592487","9.875","0"
"4709-LKHYG","0","1","1","29","1","0","20","540.05","18.001666666667","0.90008333333333","10","0"
"2504-DSHIH","1","1","0","23","1","0","86.8","1975.85","82.327083333333","0.94846870199693","28.933333333333","0"
"0699-NDKJM","0","1","0","57","0","1","58.75","3437.45","59.266379310345","1.0087894350697","9.7916666666667","0"
"9286-BHDQG","1","1","1","72","0","0","45.25","3139.8","43.01095890411","0.9505184288201","9.05","0"
"0230-WEQUW","1","1","0","66","0","1","56.6","3789.2","56.555223880597","0.99920890248405","9.4333333333333","0"
"2040-LDIWQ","1","1","1","65","1","1","84.2","5324.5","80.674242424242","0.9581263945872","12.028571428571","0"
"6496-JDSSB","0","0","0","8","1","1","80","624.6","69.4","0.8675","26.666666666667","0"
"9408-SSNVZ","0","0","0","4","1","1","70.15","268.35","53.67","0.76507483962937","35.075","1"
"4443-EMBNA","0","1","0","71","1","0","24.75","1836.9","25.5125","1.0308080808081","12.375","0"
"6469-MRVET","1","1","1","1","1","1","20.2","20.2","10.1","0.5","10.1","0"
"0742-MOABM","1","1","0","4","1","0","50.05","179.35","35.87","0.71668331668332","16.683333333333","1"
"5961-VUSRV","0","0","0","12","1","1","19.35","219.35","16.873076923077","0.8719936394355","9.675","0"
"6778-JFCMK","1","0","0","24","0","1","50.6","1288.75","51.55","1.0187747035573","12.65","0"
"6341-JVQGF","0","1","1","31","1","1","81.15","2545.75","79.5546875","0.98034118915588","11.592857142857","0"
"2232-DMLXU","0","1","0","1","1","0","55.2","55.2","27.6","0.5","18.4","1"
"4811-JBUVU","1","0","0","30","1","1","89.9","2723.15","87.843548387097","0.9771251211023","22.475","0"
"0945-TSONX","0","1","1","47","1","1","85.3","4107.25","85.567708333333","1.0031384329816","12.185714285714","0"
"2651-ZCBXV","1","0","0","54","1","1","108","5760.65","104.73909090909","0.9698063973064","15.428571428571","0"
"3316-UWXUY","1","0","0","50","1","1","93.5","4747.5","93.088235294118","0.99559609940233","15.583333333333","0"
"8937-RDTHP","1","0","0","1","1","1","84.6","84.6","42.3","0.5","21.15","1"
"7083-MIOPC","0","0","0","72","1","0","20.25","1566.9","21.464383561644","1.0599695585997","10.125","0"
"1984-GPTEH","0","0","0","29","1","0","25.15","702","23.4","0.93041749502982","12.575","0"
"1251-KRREG","1","0","0","2","1","1","54.4","114.1","38.033333333333","0.69914215686275","18.133333333333","1"
"0621-JFHOL","0","0","0","10","0","1","29.6","299.05","27.186363636364","0.91845823095823","14.8","0"
"9903-LYSAB","1","1","0","18","1","1","73.15","1305.95","68.734210526316","0.93963377342879","36.575","0"
"0094-OIFMO","0","0","0","11","1","1","95","1120.3","93.358333333333","0.98271929824561","19","1"
"9227-UAQFT","1","0","0","16","1","0","19.75","284.35","16.726470588235","0.84690990320179","9.875","0"
"7301-ABVAD","0","0","0","72","1","0","86.6","6350.5","86.993150684932","1.0045398462463","12.371428571429","0"
"6614-FHDBO","1","0","0","72","1","0","109.2","7878.3","107.92191780822","0.98829595062472","15.6","0"
"7576-ASEJU","0","1","1","41","1","1","74.7","3187.65","75.896428571429","1.0160164467393","12.45","0"
"9058-HRZSV","0","1","0","65","1","0","94.4","6126.15","92.820454545455","0.98326752696456","15.733333333333","0"
"4522-AKYLR","0","0","0","13","1","1","54.8","731.3","52.235714285714","0.95320646506778","13.7","0"
"0221-WMXNQ","1","0","0","4","1","0","75.35","273.4","54.68","0.7256801592568","25.116666666667","0"
"0303-UNCIP","1","0","0","41","1","0","65","2531.8","60.280952380952","0.92739926739927","16.25","0"
"9947-OTFQU","1","0","0","15","1","1","74.4","1074.3","67.14375","0.90246975806452","24.8","1"
"0322-YINQP","1","0","0","1","1","1","48.55","48.55","24.275","0.5","16.183333333333","1"
"0959-WHOKV","1","0","0","42","1","1","99","4298.45","99.963953488372","1.009736903923","16.5","0"
"4075-JFPGR","0","1","0","51","1","1","93.5","4619.55","88.8375","0.95013368983957","15.583333333333","0"
"4629-NRXKX","0","1","1","2","1","0","70.4","147.15","49.05","0.69673295454545","35.2","1"
"9514-JDSKI","1","1","0","1","0","0","40.2","40.2","20.1","0.5","13.4","1"
"3282-ZISZV","1","0","1","32","1","0","83.7","2633.3","79.79696969697","0.95336881358387","11.957142857143","0"
"3675-YDUPJ","1","0","0","10","1","1","19.85","193.05","17.55","0.88413098236776","9.925","0"
"4111-BNXIF","0","1","1","67","0","1","59.55","4103.9","60.351470588235","1.0134587840174","9.925","0"
"7017-VFHAY","0","1","1","61","1","0","115.1","7008.15","113.03467741935","0.98205627644965","14.3875","0"
"6655-LHBYW","1","0","0","50","1","0","114.35","5791.1","113.55098039216","0.99301250889512","14.29375","0"
"4959-JOSRX","0","1","0","2","1","1","44.6","80.55","26.85","0.60201793721973","22.3","1"
"5046-NUHWD","0","1","0","29","0","1","45","1228.65","40.955","0.91011111111111","11.25","0"
"7273-TEFQD","1","0","0","3","0","1","41.15","132.2","33.05","0.80315917375456","13.716666666667","1"
"3606-TWKGI","1","0","0","13","1","1","106.9","1364.3","97.45","0.91159962581852","17.816666666667","1"
"7529-ZDFXI","1","1","0","57","1","1","89.85","4925.35","84.919827586207","0.94512885460442","22.4625","0"
"7605-BDWDC","0","0","0","31","0","1","49.85","1520.1","47.503125","0.95292126379137","9.97","0"
"1950-KSVVJ","0","1","0","45","1","0","113.3","5032.25","109.39673913043","0.96554933036571","14.1625","0"
